None,None
ABM,Archbishop Murphy
ARL,Arlington
ART,Artondale Elementary
BET,Bethel
BMS,Bethel Middle School
BBL,Bishop Blanchet
BRE,Bremerton
BRT,Brier Terrace Middle School
BED,Burlington-Edison
BUS,The Bush School
CMP,Camas Prairie Elementary
CAS,Cascadia Elementary
CDR,Cedar River Middle School
CTR,The Center School
CSI,Chief Sealth
CLK,Chloe Clark Elementary
CMT,Cougar Mountain Middle School
CUR,Curtis
DEN,Denny Middle School
DKS,Emily Dickinson Elementary
EUW,Early Entrance UW
ELK,Eastlake 
ESP,Eastside Prepatory
ECK,Eckstein Middle School
EMS,Eisenhower Middle School
ELP,Elk Plain School of Choice
EAS,Environmental & Adventure School
EVT,Everett
FIN,Finn Hill Middle School
GAR,Garfield
GIG,Gig Harbor
GPK,Glacier Park
GLP,Glacier Peak
HMS,Hamilton International MS
HZW,Hazel Wolf K-8
HAZ,Hazen
HOM,Home School
ING,Inglemoor
ICS,International Community School
ISS,Issaquah
JAC,Jackson
JEF,Thomas Jefferson
JUA,Juanita
JTA,Juanita Elementary
KAM,Kamiak
KIR,Kirkland Middle School
KOP,Kopachuck Middle School
LWA,Lake Washington
LKW,Lake Wilderness Elementary
LAK,Lakeside
LVW,Lakeview Elementary
LIB,Liberty
MAD,Madrona Elementary (Edmonds)
MAR,Mariner
MSV,Marysville
MAY,Maywood Middle School
MCM,McMurray Middle School
MDP,Meridian Park Elementary
NEW,Newport
NKT,North Kitsap
NCA,Northshore Christian Academy
NWM,Northwest  Montessori
OAK,Oak Harbor
OVL,Overlake
PCM,Pacific Crest Montessori
RAV,Raisbeck Aviation
RED,Redmond
RCK,Rock Creek Elementary
ROO,Roosevelt
RHL,Rose Hill Middle School
SBG,Sandburg Elementary
SMI,Science & Math Institute
SHA,Shadow Lake Elementary
SKT,South Kitsap
SPA,Spanaway
STL,St. Lukes 
SMA,St. Mary's Academy
STT,St. Thomas
TAH,Tahoma
TJH,Tahoma Junior High
TMS,Tahoma Middle School
TES,Tesla STEM school
TGM,Thurgood Marshall Elementary
TCE,Thornton Creek Elementary
TYE,Tyee Middle School
WVA,Washington Virtual Academy
WMS,Woodinville-Montessori
COC,Cascade OC
SAMM,Sammamish OC
GVOC,Greater Vancouver OC
CSU,Cambridge Sports Union
BAOC,Bay Area OC
RMOC,Rocky Mountain OC
CROC,Columbia River OC
EWOC,Eastern Washington OC
OK,Orienteer Kansas
